CODIGO SINADA,MEDIO DE RECEPCION,DEPARTAMENTO,PROVINCIA,DISTRITO,FECHA DE REGISTRO,ACTIVIDAD ECONOMICA,AGUA,AIRE,SUELO,FAUNA,FLORA,POBLACION,EFLUENTES,RESIDUOS SOLIDOS,GASES/HUMO,MATERIAL PARTICULADO,TALA,RADIACION NO IONIZANTE,FUENTE VISUAL,FUENTE SONORA,INDIRECTA/DIRECTA/MIXTA,ESTADO
ODPI-0006-2019,TELEFONO,PIURA,PIURA,CASTILLA,24/07/2019,FORESTAL,0,0,1,0,1,0,0,0,0,0,1,0,0,0,INDIRECTA,CERRADA
OELC-0004-2019,PERSONAL,CUSCO,LA CONVENCION,MEGANTONI,24/07/2019,INFRAESTRUCTURA,0,0,1,0,0,0,1,1,0,0,0,0,0,0,MIXTA,CERRADA
ODMO-0009-2019,PERSONAL,MOQUEGUA,MARISCAL NIETO,SAN CRISTOBAL,24/07/2019,MINERIA,0,1,1,1,1,0,0,0,1,1,0,0,0,0,MIXTA,CERRADA
ODAR-0013-2019,TELEFONO,AREQUIPA,AREQUIPA,AREQUIPA,24/07/2019,INFRAESTRUCTURA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,INDIRECTA,CERRADA
SC-0754-2019,TRA. DOCUMENTARIO,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,24/07/2019,INDUSTRIA,0,1,1,0,0,0,0,0,0,1,0,0,0,0,DIRECTA,CERRADA
SC-0753-2019,WEB,APURIMAC,CHINCHEROS,ANCO-HUALLO,24/07/2019,INDUSTRIA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,DIRECTA,CERRADA
SC-0755-2019,TRA. DOCUMENTARIO,JUNIN,HUANCAYO,EL TAMBO,24/07/2019,INFRAESTRUCTURA,0,1,1,0,0,0,0,1,0,0,0,0,0,0,INDIRECTA,CERRADA
SC-0772-2019,TRA. DOCUMENTARIO,LA LIBERTAD,SANCHEZ CARRION,HUAMACHUCO,25/07/2019,INDUSTRIA,0,1,0,0,0,0,0,0,1,1,0,0,0,0,DIRECTA,CERRADA
ODHU-0002-2019,PERSONAL,HUANUCO,HUANUCO,HUANUCO,25/07/2019,COMERCIO,0,1,0,0,0,1,0,0,1,0,0,0,0,0,DIRECTA,CERRADA
SC-0770-2019,WEB,ANCASH,SANTA,SANTA,25/07/2019,COMERCIO,0,1,0,0,0,0,0,0,0,0,0,0,0,1,INDIRECTA,CERRADA
SC-0769-2019,WEB,APURIMAC,ABANCAY,CURAHUASI,25/07/2019,CONSTRUCCION,0,0,1,0,1,0,0,0,0,1,0,0,0,0,INDIRECTA,CERRADA
SC-0767-2019,WEB,PASCO,PASCO,YANACANCHA,25/07/2019,MINERIA,0,0,1,0,0,0,1,0,0,0,0,0,0,0,DIRECTA,CERRADA
SC-0766-2019,TRA. DOCUMENTARIO,LIMA,LIMA,ANCON,25/07/2019,TRANSPORTE,0,1,1,0,0,0,0,1,0,0,0,0,0,0,INDIRECTA,CERRADA
SC-0763-2019,WEB,LIMA,LIMA,COMAS,25/07/2019,COMERCIO,0,1,0,0,0,0,0,0,0,0,0,0,0,1,INDIRECTA,CERRADA
SC-0762-2019,WEB,AREQUIPA,AREQUIPA,CERRO COLORADO,25/07/2019,AGRICULTURA,0,0,1,0,0,1,1,0,0,0,0,0,0,0,DIRECTA,CERRADA
SC-0761-2019,WEB,AREQUIPA,AREQUIPA,SOCABAYA,25/07/2019,INDUSTRIA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,DIRECTA,CERRADA
SC-0760-2019,WEB,LIMA,LIMA,LURIN,25/07/2019,CONSTRUCCION,0,0,1,0,1,0,0,1,0,0,0,0,0,0,INDIRECTA,EN SEGUIMIENTO
